strain	originating_lab	submitting_lab
A/Pennsylvania/1/2021	Pennsylvania Department of Health	Centers for Disease Control and Prevention
A/India/PUN-NIV312063/2021	National Institute of Virology	Centers for Disease Control and Prevention
A/SouthAfrica/R07089/2022	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/India/PUN-NIV298154/2021	National Institute of Virology	Centers for Disease Control and Prevention
A/Darwin/45/2021	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Trollhattan/1/2022	Public Health Agency of Sweden	Public Health Agency of Sweden
A/Moscow/6/2022	Ivanovsky Research Institute of Virology RAMS	Centers for Disease Control and Prevention
A/Darwin/36/2021-egg	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Darwin/36/2021	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Bangladesh/911009/2020	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Bangladesh/1006/2020	Centers for Disease Control and Prevention	Crick Worldwide Influenza Centre
A/Bangladesh/10006/2020	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Bangladesh/4005/2020	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Bangladesh/3005/2020-egg	WHO Collaborating Centre for Reference and Research on Influenza	Crick Worldwide Influenza Centre
A/Bangladesh/911009/2020-egg	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	WHO Collaborating Centre for Reference and Research on Influenza
A/Salalah/520266545/2020	Central Public Health Laboratory, Ministry of Health	Crick Worldwide Influenza Centre
A/AbuDhabi/390121/2021	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Yekaterinburg/10-01V/2021	"FBUZ ""Center of hygiene and epidemiology"" in Sverdlovsk oblast"	State Research Center of Virology and Biotechnology (VECTOR)
A/Tyumen/1V/2021	FBUZ Center of Hygiene and Epidemiology in Tyumen oblast	State Research Center of Virology and Biotechnology (VECTOR)
A/Sidon/S0213/2022	Rafic Hariri University Hospital 4th floor DNA/Research Lab	Crick Worldwide Influenza Centre
A/Sidon/S0212/2022	Rafic Hariri University Hospital 4th floor DNA/Research Lab	Crick Worldwide Influenza Centre
A/Mississippi/40/2022	Mississippi Public Health Laboratory	Centers for Disease Control and Prevention
A/Pennsylvania/37/2023	Pennsylvania Department of Health	Centers for Disease Control and Prevention
A/Santiago/133908/2022	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/Santiago/133909/2022	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/Trinidad/2141/2023	Caribbean Epidemiology Center	Centers for Disease Control and Prevention
A/SaoPaulo/IAL/C10308/2022	Instituto Adolfo Lutz - National Influenza Center	Instituto Adolfo Lutz
A/Moulins/R2232198/2022	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/Pennsylvania/45/2022	Pennsylvania Department of Health	Centers for Disease Control and Prevention
A/Florida/57/2022	Florida Department of Health-Tampa	Centers for Disease Control and Prevention
A/Victoria/5290/2022	Austin Health	WHO Collaborating Centre for Reference and Research on Influenza
A/Yamaguchi/25/2023	Yamaguchi Prefectural Institute of Public Health and Environment	National Institute of Infectious Diseases (NIID)
A/Washington/44/2022	Washington State Public Health Laboratory	Centers for Disease Control and Prevention
A/MountLebanon/65/2023	Rafic Hariri University Hospital 4th floor DNA/Research Lab	Crick Worldwide Influenza Centre
A/AbuDhabi/7444/2022	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Bahrain/8523/2022	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Maldives/765/2022	Ministry of Health	Centers for Disease Control and Prevention
A/Guatemala/667/2023	Laboratorio Nacional De Salud Guatemala	Centers for Disease Control and Prevention
A/Victoria/5165/2022	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Utah/15/2023	Utah Department of Health	Centers for Disease Control and Prevention
A/SouthAfrica/PET28078/2023	Wits-VIDA	Vaccines and Infectious Diseases Analytics Research Unit
A/Netherlands/1217/2022	Erasmus Medical Center	Erasmus Medical Center
A/Serbia/7028/2022	Institute of Immunology and Virology Torlak	Crick Worldwide Influenza Centre
A/Bahrain/1241/2022	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Austria/1561460/2022	University of Vienna	Crick Worldwide Influenza Centre
A/Victoria/164/2023	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/342/2023	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/260/2023	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Greece/ILI_249/2023	Hellenic Pasteur Institute	Crick Worldwide Influenza Centre
A/Zamora/31/2022	Universidad de Valladolid	Crick Worldwide Influenza Centre
A/Luxembourg/LNS9888387/2022	Laboratoire National de Santé	Laboratoire National de Santé
A/Guyane/187/2023	National Influenza Center French Guiana and French Indies	Centers for Disease Control and Prevention
A/Vaxjo/2/2023	Klinisk mikrobiologi Vaxjo, Centrallasarettet	Public Health Agency of Sweden
A/Yokohama/4/2022	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/100/2023	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/90/2023	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/78/2023	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Sendai/45/2023	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/Yamaguchi/22FS212_2/2022	Niigata University (IDRC)	Niigata University (DPH)
A/Yamaguchi/22FS212/2022	Niigata University (IDRC)	Niigata University (DPH)
A/Trnava/97/2022	National Public Health Institute of Slovakia	Crick Worldwide Influenza Centre
A/Montana/8/2023	Montana Laboratory Services Bureau	Centers for Disease Control and Prevention
A/Trapani/1/2022	Istituto Superiore di Sanità (ISS)	Crick Worldwide Influenza Centre
A/Slovenia/526/2023	Laboratory for Virology, National Institute of Public Health	Crick Worldwide Influenza Centre
A/Slovakia/3943/2023	National Public Health Institute of Slovakia	Comenius University Science Park
A/Netherlands/1265/2022	Erasmus Medical Center	Erasmus Medical Center
A/Romania/542580/2022	Cantacuzino Institute	Crick Worldwide Influenza Centre
A/Shizuoka/20/2023	Shizuoka Institute of Environment and Hygiene	National Institute of Infectious Diseases (NIID)
A/Switzerland/37489/2023	Swiss National Reference Centre for Influenza	Swiss National Reference Centre for Influenza
A/Latvia/12-084272/2022	State Agency, Infectology Center of Latvia	Crick Worldwide Influenza Centre
A/VelikyNovgorod/RII-MH132654S/2023	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
A/Veneto/USAFSAM-13972/2022		
A/Stockholm/5/2021	Public Health Agency of Sweden	Crick Worldwide Influenza Centre
A/TimorLeste/98/2022	Laboratório Nacional da Saúde	WHO Collaborating Centre for Reference and Research on Influenza
A/Guyane/130/2022	National Influenza Center French Guiana and French Indies	Centers for Disease Control and Prevention
A/TimorLeste/64/2022	Laboratório Nacional da Saúde	WHO Collaborating Centre for Reference and Research on Influenza
A/Darwin/11/2021	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/NorthernTerritory/ATCC-9/2021		
A/Darwin/9/2021	American Type Culture Collection	
A/Darwin/9/2021-egg	Victorian Infectious Diseases Reference Laboratory	National Institute for Biological Standards and Control (NIBSC)
A/Delaware/1/2021	Delaware Public Health Lab	Centers for Disease Control and Prevention
A/Singapore/INFTT0002/2021	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Canterbury/1/2021	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Philippines/24/2021	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza
A/Philippines/21/2021	Research Institute of Tropical Medicine	WHO Collaborating Centre for Reference and Research on Influenza
A/Darwin/6/2021	American Type Culture Collection	
A/Darwin/6/2021-egg	New York Medical College	National Institute for Biological Standards and Control (NIBSC)
A/Moscow/2/2021	Center of Hygiene and Epidemiology in Moscow	Central Research Institute of Epidemiology
A/Voronezh/8/2021	Center of Hygiene and Epidemiology in Voronezh Region	Central Research Institute of Epidemiology
A/StPetersburg/RII-09/2021	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	Centers for Disease Control and Prevention
A/Switzerland/9650/2022	Swiss National Reference Centre for Influenza	Swiss National Reference Centre for Influenza
A/Slovenia/679/2022	Laboratory for Virology, National Institute of Public Health	Crick Worldwide Influenza Centre
A/Ukraine/371/2022	Ministry of Health of Ukraine	Crick Worldwide Influenza Centre
A/Lithuania/36119/2022	Lithuanian AIDS Center Laboratory	Crick Worldwide Influenza Centre
A/Victoria/4411c/2022	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Vladivostok/NRCEM-13/2022	NRCEM Gamaleya	Central Research Institute of Epidemiology
A/India/Pune-Nivari_22_31/2022	National Institute of Virology	Centers for Disease Control and Prevention
A/NewYork/3/2021	New York State Department of Health	Centers for Disease Control and Prevention
A/RhodeIsland/9/2021	Rhode Island Department of Health	Centers for Disease Control and Prevention
A/Yokohama/3/2021	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Victoria/6/2022	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Maryland/2/2021	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention
A/Colorado/6/2022	Colorado Department of Health Lab	Centers for Disease Control and Prevention
A/Arizona/25/2022	Arizona Department of Health Services	Centers for Disease Control and Prevention
A/Valparaiso/66437/2022	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/California/1/2022	California Department of Health Services	Centers for Disease Control and Prevention
A/Thailand/508/2022	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Thailand/1489/2022	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Wisconsin/38/2023	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Victoria/4844/2022	WHO Collaborating Centre for Reference and Research on Influenza	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/993/2022	Melbourne Pathology	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/72/2022	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Wellington/9/2022	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/NewZealand/306/2022	Institute of Environmental Science & Research	Centers for Disease Control and Prevention
A/Iceland/35046/2022	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/Spain/1127/2022	Universidad de Valladolid	Crick Worldwide Influenza Centre
A/Estonia/168777/2022	Health Protection Inspectorate	Crick Worldwide Influenza Centre
A/Tunisia/1580/2022	Hopital Charles Nicolle	Centers for Disease Control and Prevention
A/Victoria/5/2022	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Picardie/9083/2022	Institut Pasteur	Institut Pasteur
A/Denmark/97/2022	Statens Serum Institute	Statens Serum Institute
A/Hungary/42/2022	Central Veterinary Institute Budapest	Crick Worldwide Influenza Centre
A/Murcia/3047/2022	Servicio de Microbiología Hospital Virgen de la Arrixaca	Instituto de Salud Carlos III
A/NewJersey/31/2022	New Jersey Department of Health & Senior Services	Centers for Disease Control and Prevention
A/Denmark/3036/2022	Statens Serum Institute	Statens Serum Institute
A/Valencia/VAHNSI-GIHSN-10_2413/2022	Hospital Universitario Doctor Peset	Virology Laboratory & Vaccine Research Area, FISABIO - Public Health, Center of Public Health Research (CSISP), Gen. Valenciana
A/Spain/1129/2022	Universidad de Valladolid	Crick Worldwide Influenza Centre
A/UnitedKingdom/13396/2022	U.S. Air Force School of Aerospace Medicine	U.S. Air Force School of Aerospace Medicine
A/Germany/13423/2022	U.S. Air Force School of Aerospace Medicine	U.S. Air Force School of Aerospace Medicine
A/SuratThani/NIC-P2977/2022	Thai National Influenza Center	Thai National Influenza Center
A/Romania/521767/2022	Cantacuzino Institute	Crick Worldwide Influenza Centre
A/Estonia/168142/2022	Health Protection Inspectorate	Crick Worldwide Influenza Centre
A/Bulgaria/1273/2022	National Centre of Infectious and	Crick Worldwide Influenza Centre
A/Uvs/61060/2022	National Center for Communicable Diseases	National Institute of Infectious Diseases (NIID)
A/Ukraine/360/2022	Ministry of Health of Ukraine	Crick Worldwide Influenza Centre
A/Croatia/69089/2022	Croatian Institue of Public Health	Crick Worldwide Influenza Centre
A/Croatia/79486/2022	Croatian Institue of Public Health	Crick Worldwide Influenza Centre
A/Kosovo/954/2022	National Institute of Public Health of Kosova	Crick Worldwide Influenza Centre
A/Serbia/578/2022	Institute of Immunology and Virology Torlak	Centers for Disease Control and Prevention
A/Norway/28542/2022	WHO National Influenza Centre	Crick Worldwide Influenza Centre
A/Austria/1553836/2022	Department of Virology, Medical University Vienna	Medical University Vienna
A/Victoria/5198/2022	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Romania/548413/2023	Cantacuzino National Military Medical Institute for Research and Development	Cantacuzino Institute
A/Estonia/KL7285/2022	Health Protection Inspectorate	Crick Worldwide Influenza Centre
A/Michigan/60/2022	Michigan Department of Community Health	Centers for Disease Control and Prevention
A/Victoria/5211/2022	Austin Health	WHO Collaborating Centre for Reference and Research on Influenza
A/Thuringen/99/2022	Robert Koch-Institute Nationales Referenzzentrum für Influenza	Robert Koch Institute Nationales Referenzzentrum für Influenza
A/RioGrandedoSul/4054/2023	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention
A/StPetersburg/RII-9000S/2023	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
A/Poland/205/2023	National Institute of Public Health - National Institute of Hygiene	Crick Worldwide Influenza Centre
A/Norway/5269/2023	Nordlandssykehuset	Norwegian Institute of Public Health
A/Leon/4311/2023	Universidad de Valladolid	Crick Worldwide Influenza Centre
A/Henan-Shihe/1977/2023	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Paraguay/7346/2023	Central Laboratory of Public Health	Centers for Disease Control and Prevention
A/Brisbane/273/2023	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Swansea/9594/2022	Public Health Wales Microbiology Cardiff	Public Health Wales Microbiology Cardiff
A/SouthAfrica/R03153/2023	National Institute for Communicable Diseases (NICD)	National Institute for Communicable Diseases (NICD)
A/Kanagawa/AC2316/2023	National Institute of Infectious Diseases (NIID)	Centers for Disease Control and Prevention
A/StPetersburg/RII-14137S/2023	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
A/Bolivia/18559VIR/2022	Instituto Nacional de Laboratoriosde Salud (INLASA)	Centers for Disease Control and Prevention
A/India/PUN-NIV323256/2021	National Institute of Virology	Centers for Disease Control and Prevention
A/India/2153/2021	National Institute of Virology	Centers for Disease Control and Prevention
A/Nevada/8/2022	Southern Nevada Public Health Lab	Centers for Disease Control and Prevention
A/Tokyo/22024/2022	Tokyo Metropolitan Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Yamaguchi/2/2022	Yamaguchi Prefectural Institute of Public Health and Environment	National Institute of Infectious Diseases (NIID)
A/Yamaguchi/1/2022	Yamaguchi Prefectural Institute of Public Health and Environment	National Institute of Infectious Diseases (NIID)
A/India/Aurangabad-QC-21_55/2021	National Institute of Virology	Centers for Disease Control and Prevention
A/India/PUN-NIV301759/2021	National Institute of Virology	Centers for Disease Control and Prevention
A/Zgharta/6633/2021	Rafic Hariri University Hospital 4th floor DNA/Research Lab	Crick Worldwide Influenza Centre
A/SriLanka/5/2022	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Myanmar/I039/2021	National Health Laboratory	National Institute of Infectious Diseases (NIID)
A/Victoria/5/2021	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Alaska/1/2021	Alaska State Virology Lab	Centers for Disease Control and Prevention
A/Alaska/1/2021-egg	Crick Worldwide Influenza Centre	Centers for Disease Control and Prevention
A/AbuDhabi/3550500/2021	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Uppsala/20/2022	Klinisk mikrobiologi, Akademiska sjukhuset Uppsala	Public Health Agency of Sweden
A/Bhutan/1331/2022	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Bhutan/1287/2022	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/UmmAlQuwain/7615/2023	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/SriLanka/26/2022	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/7/2023	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/India/Kerala-NIVQC471/2021	ICMR-National Institute of Virology	ICMR-National Institute of Virology
A/Singapore/SAR86232/2021	Ministry of Health, Singapore	WHO Collaborating Centre for Reference and Research on Influenza
A/Ireland/82/2021	UCD National Virus Reference Laboratory	Crick Worldwide Influenza Centre
A/Hessen/2/2021	Robert Koch-Institute Nationales Referenzzentrum für Influenza	Robert Koch Institute Nationales Referenzzentrum für Influenza
A/California/37/2021	California Department of Health Services	Centers for Disease Control and Prevention
A/Trieste/1/2021	SC (UCO) Igiene e Sanità Pubblica, University of Trieste	SC (UCO) Igiene e Sanità Pubblica, University of Trieste
A/Wrexham/9861/2022	Public Health Wales Microbiology Cardiff	Public Health Wales Microbiology Cardiff
A/Victoria/9/2021	Alfred Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/England/214191723/2021	UK Health Security Agency - Colindale	Crick Worldwide Influenza Centre
A/Santiago/188970/2021	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Netherlands/98/2021	Erasmus Medical Center	Erasmus Medical Center
A/Darwin/24/2021-egg	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Bhutan/1137/2021	Royal Centre for Disease Control	Centers for Disease Control and Prevention
A/Darwin/24/2021	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Paraiba/181445-IEC/2021	LACEN/PB - Laboratório Central de Saúde Pública da Paraíba	Evandro Chagas Institute
A/PuertoMontt/71529/2022	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/SaoPaulo/IAL/C9692/2021	Instituto Adolfo Lutz - National Influenza Center	Instituto Adolfo Lutz
A/SantaCatarina/1975/2022	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	Centers for Disease Control and Prevention
A/Uruguay/1046/2022	Departamento de Laboratorio de Salud Pública (DLSP)	Centers for Disease Control and Prevention
A/VinaDelMar/90277/2022	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Peru/5443/2023	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Peru/2024/2023	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Zambia/7161/2022	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Zambia/1315/2022	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Zambia/9275/2022	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Zambia/1455/2022	University Teaching Hospital, MoH Zambia	Centers for Disease Control and Prevention
A/Uruguay/3769/2022	Departamento de Laboratorio de Salud Pública (DLSP)	Centers for Disease Control and Prevention
A/VinaDelMar/116666/2022	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/Valparaiso/94712/2022	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
A/Chile/9522/2022	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/Michigan/83/2022	Michigan Department of Community Health	Centers for Disease Control and Prevention
A/Georgia/17/2023	Georgia Public Health Laboratory	Centers for Disease Control and Prevention
A/HongKong/33/2022	Government Virus Unit	Centers for Disease Control and Prevention
A/Qatar/25-VI-22-1930279/2022	Supreme Health Council	Crick Worldwide Influenza Centre
A/Singapore/NTF0004/2023	Ministry of Health, Singapore	Ministry of Health, Singapore
A/SriLanka/8/2022	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Singapore/SAR39241/2022	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Maldives/819/2021	Ministry of Health	Centers for Disease Control and Prevention
A/Nepal/21FL2141/2021	National Public Health Laboratory	National Institute of Infectious Diseases (NIID)
A/Ancona/14/2021	Università Politecnica delle Marche	Istituto Superiore di Sanità (ISS)
A/Togo/1949/2022	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Togo/28/2023	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Togo/159/2023	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Niger/3290/2022	Centre de Recherche Medicale et Sanitaire (CERMES)	Centers for Disease Control and Prevention
A/CoteDIvoire/3789/2023	Pasteur Institut of Côte d'Ivoire	Centers for Disease Control and Prevention
A/Ghana/1229/2024	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
A/Ghana/7934/2023	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
A/Ghana/2122/2022	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
A/Niger/10238/2021	Centre de Recherche Medicale et Sanitaire (CERMES)	Centers for Disease Control and Prevention
A/Niger/10322/2022	Centre de Recherche Medicale et Sanitaire (CERMES)	Centers for Disease Control and Prevention
A/Thailand/25/2022	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Yokohama/31/2023	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/51/2023	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/India/Kashmir-Niviso_22_06/2022	National Institute of Virology	Centers for Disease Control and Prevention
A/Nepal/PPHL09/2022	National Public Health Laboratory	National Institute of Infectious Diseases (NIID)
A/Paris/55381/2022	Institut Pasteur	Institut Pasteur
A/BurkinaFaso/2539/2022	IRSS	Centers for Disease Control and Prevention
A/Rennes/16133/2023	Institut Pasteur	Institut Pasteur
A/Bahrain/1899/2023	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Tenby/1009/2023	Public Health Wales Microbiology Cardiff	Public Health Wales Microbiology Cardiff
A/Bahrain/2317/2023	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Yaounde/23V-12684/2023	Centre Pasteur du Cameroun	Centre Pasteur of Cameroon
A/BurkinaFaso/3131/2023	Institut de Recherche en Sciences de la Santé (IRSS)	Crick Worldwide Influenza Centre
A/CoteDIvoire/888/2024	Pasteur Institut of Côte d'Ivoire	Centers for Disease Control and Prevention
A/France/IDF-RELAB-IPP12405/2024	Institut Pasteur	Crick Worldwide Influenza Centre
A/Oman/9537/2022	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/PhraNakhonSiAyutthaya/P3890/2023	Thai National Influenza Center	Thai National Influenza Center
A/Massachusetts/18/2022	Massachusetts Department of Public Health	Centers for Disease Control and Prevention
A/Toulon/NOMS22129/2022	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/Ontario/RV00530/2023	Ontario Agency for Health Protection and Promotion (OAHPP)	Public Health Agency of Canada (PHAC)
A/SuratThani/3897/2022	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/AbuDhabi/2946/2022	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Singapore/NUH0107/2023	Ministry of Health, Singapore	Ministry of Health, Singapore
A/SuratThani/P4427/2022	Thai National Influenza Center	Thai National Influenza Center
A/Newcastle/113/2023	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Uaq/12396/2023	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/SouthAfrica/R06126/2023	National Institute for Communicable Disease	Crick Worldwide Influenza Centre
A/SouthAfrica/R07227/2023	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/SouthAfrica/R06066/2023	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/NewMexico/43/2023	New Mexico Department of Health	Centers for Disease Control and Prevention
A/SouthAfrica/R07771/2023	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Canberra/79/2023	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
A/Nepal/S934/2023	National Public Health Laboratory	National Institute of Infectious Diseases (NIID)
A/AbuDhabi/4626/2023	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/AbuDhabi/5302/2023	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Victoria/2989/2023	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Ranong/P2524/2023	Thai National Influenza Center	Thai National Influenza Center
A/Finland/400/2023	Helsingin-Uusimaa Labotariokeskus	Finnish Institute for Health and Welfare, THL
A/Utah/33/2023	Utah Department of Health	Centers for Disease Control and Prevention
A/SriLanka/7/2024	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Wisconsin/62/2023	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
A/Zhejiang-Nanhu/1420/2023	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Brunei/111/2023	R.I.P.A.S. Hospital, Department of Laboratory Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Zhejiang-Nanhu/1438/2023	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Singapore/TT0430/2023	Ministry of Health, Singapore	Ministry of Health, Singapore
A/Anhui-Jinan/11028/2023	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Shanghai/PT1523C1/2023	Shanghai Municipal Center for Disease Control and Prevention	
A/Zhejiang-NH/1831/2023	JiaXing CDC	Zhejiang Provincial Center for Disease Control and Prevention
A/Vologda/199/2023	Center of Hygiene and Epidemiology in Vologda Oblast	Central Research Institute of Epidemiology
A/Bangladesh/3031/2023	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Wellington/6/2023	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/967/2023	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/916/2023	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/2289/2023	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/ChonBuri/THIS006/2023	Thai National Influenza Center	Thai National Influenza Center
A/Kenya/105/2023	CDC-Kenya	Centers for Disease Control and Prevention
A/Maldives/1074/2023	Ministry of Health	Centers for Disease Control and Prevention
A/Maldives/823/2023	Ministry of Health	Centers for Disease Control and Prevention
A/RasAlKhaimah/8132/2023	Shaikh Khalifa Medical City	Centers for Disease Control and Prevention
A/Maldives/991/2023	Ministry of Health	Centers for Disease Control and Prevention
A/Thailand/8/2022-egg	WHO Collaborating Centre for Reference and Research on Influenza	Crick Worldwide Influenza Centre
A/Thailand/8/2022	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Bahrain/4658/2022	Ministry of Health Bahrain	Centers for Disease Control and Prevention
A/Wakayama/3/2022	Wakayama Prefectural Research Center of Environment and Public Health	National Institute of Infectious Diseases (NIID)
A/HongKong/37/2022	Government Virus Unit	Centers for Disease Control and Prevention
