strain	originating_lab	submitting_lab
A/Michigan/15/2014	Influenza Research Institute, University of Wisconsin-Madison	WHO Collaborating Centre for Reference and Research on Influenza
A/NewCaledonia/71/2014-egg		National Institute for Biological Standards and Control (NIBSC)
A/India/609/2015	National Institute of Virology	Centers for Disease Control and Prevention
A/NewCaledonia/71/2014	Institut Pasteur New Caledonia	WHO Collaborating Centre for Reference and Research on Influenza
A/Saitama/103/2014-egg	Saitama Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Saitama/103/2014	Saitama Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Yokohama/5/2015	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/184/2014	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Yokohama/97/2014	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Thailand/CU-B11843/2015		
A/Austria/832769/2014	Department of Virology, Medical University Vienna	Medical University Vienna
A/Norway/3037/2014	Drammen Hospital / Vestreviken HF, Department for Medical Microbiology section Drammen	Norwegian Institute of Public Health
A/Glasgow/401673/2014	Gart Naval General Hospital	National Institute for Medical Research
A/Wyoming/17/2014		
A/Wyoming/9/2014		
A/Tehran/106491/2015		
A/Yokohama/81/2015	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Netherlands/446/2014	National Institute for Public Health and the Environment (RIVM)	National Institute for Public Health and the Environment (RIVM)
A/Netherlands/265/2015	Erasmus Medical Center	Erasmus Medical Center
A/Wyoming/2/2015	Wyoming Public Health Laboratory	Centers for Disease Control and Prevention
A/Yokohama/55/2015	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Wisconsin/69/2015		
A/Stockholm/40/2015	Public Health Agency of Sweden	Crick Worldwide Influenza Centre
A/Yokohama/123/2016	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Valparaiso/33881/2016	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Valparaiso/49572/2016	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Vina/50464/2016	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
A/SouthAfrica/4363/2016	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Texas/183/2016	Texas Department of State Health Services-Laboratory Services	Centers for Disease Control and Prevention
A/Peru/8316/2016	Laboratorio de Referencia Nacional Virus Respiratorios, Instituto Nacional de Salud	Centers for Disease Control and Prevention
A/Rome/12/2016	Istituto Superiore di Sanità (ISS)	Crick Worldwide Influenza Centre
A/Thailand/CU-B11518/2015		
A/Vologda/CRIE-22/2015		Central Research Institute of Epidemiology
A/SouthAfrica/5390/2015	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Finland/521/2015	Finnish Institute for Health and Welfare, THL	Finnish Institute for Health and Welfare, THL
A/Ghana/FS-15-0773/2015	University of Ghana	Crick Worldwide Influenza Centre
A/Lisbon/16/2017	Instituto Nacional de Saude (INSA)	Crick Worldwide Influenza Centre
A/Nonthaburi/414/2016	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Singapore/TT1374/2016		Ministry of Health, Singapore
A/Lao/753/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention
A/Belgium/H22/2017	Scientific Institute of Public Health	Crick Worldwide Influenza Centre
A/Maryland/23/2016	Maryland Department of Health and Mental Hygiene	Centers for Disease Control and Prevention
A/Cameroon/4372/2018	Centre Pasteur du Cameroun	Crick Worldwide Influenza Centre
A/Darwin/1002/2017	Institute of Medical and Veterinary Science (IMVS)	WHO Collaborating Centre for Reference and Research on Influenza
A/Yokohama/112/2018	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Mali/57/2018	NIC Lab CVD-MALI	Centers for Disease Control and Prevention
A/Mali/235/2018	NIC Lab CVD-MALI	Centers for Disease Control and Prevention
A/Togo/1048/2017	Institute National D'Hygiene	Centers for Disease Control and Prevention
A/Toulon/2533/2017	CNR Virus des Infections Respiratoires - France SUD	Crick Worldwide Influenza Centre
A/Zhejiang-Shangcheng/1153/2018	WHO Chinese National Influenza Center	Centers for Disease Control and Prevention
A/Switzerland/8327/2018	Swiss National Reference Centre for Influenza	Crick Worldwide Influenza Centre
A/Congo/422/2018	INRB Service de Virologie	Centers for Disease Control and Prevention
A/Congo/735/2018	INRB Service de Virologie	Centers for Disease Control and Prevention
A/Congo/319/2018	INRB Service de Virologie	Centers for Disease Control and Prevention
A/HongKong/4994/2017	Government Virus Unit	Centers for Disease Control and Prevention
A/Townsville/16/2017	Queensland Health Forensic and Scientific Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Yunnan-Gucheng/1887/2018	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Choibalsan/3093/2017	National Center for Communicable Diseases	Centers for Disease Control and Prevention
A/England/70960256/2017	UK Health Security Agency - Colindale	UK Health Security Agency - Colindale
A/Antananarivo/1998/2017	Institut Pasteur de Madagascar	Centers for Disease Control and Prevention
A/Khakassia/CRIE-360/2017		
A/Bulgaria/545/2017	National Centre of Infectious and	Crick Worldwide Influenza Centre
A/Kazakhstan/78/2016	CSEE	Centers for Disease Control and Prevention
A/Kazakhstan/6975/2017	CDC-Central Asia Office	Centers for Disease Control and Prevention
A/Tanzania/4357/2017	National Influenza Lab	Centers for Disease Control and Prevention
A/Tanzania/4390/2017	National Influenza Lab	Centers for Disease Control and Prevention
A/Poland/12192/2016	National Institute of Public Health - National Institute of Hygiene	Crick Worldwide Influenza Centre
A/Moscow/165/2016	Ivanovsky Research Institute of Virology RAMS	Centers for Disease Control and Prevention
A/Ghana/2717/2017	University of Ghana	Crick Worldwide Influenza Centre
A/Hungary/202/2016	Central Veterinary Institute Budapest	Crick Worldwide Influenza Centre
A/California/179/2016	California Department of Health Services	Centers for Disease Control and Prevention
A/Moldova/69152/2016	National Centre for Preventive Medicine	Crick Worldwide Influenza Centre
A/Moldova/14006/2017	National Centre for Preventive Medicine	Crick Worldwide Influenza Centre
A/Moscow/46/2017	Ivanovsky Research Institute of Virology RAMS	Centers for Disease Control and Prevention
A/Maldives/499/2017	Ministry of Health	Centers for Disease Control and Prevention
A/Maldives/158/2017	Ministry of Health	Centers for Disease Control and Prevention
A/Wellington/5/2017	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Ohio/31/2017	Ohio Department of Health Laboratories	Centers for Disease Control and Prevention
A/NewZealand/671/2017	Institute of Environmental Science & Research	Centers for Disease Control and Prevention
A/Fiji/2/2015	National Centre for Scientific Services for Virology  and Vector Borne Diseases	WHO Collaborating Centre for Reference and Research on Influenza
A/SolomonIslands/1/2014	National Referral Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Tokyo/40778/2014	Tokyo Metropolitan Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Victoria/944/2014	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/2131/2014	Austin Health	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/8/2015	Swedish Veterinary Agency (SVA)	WHO Collaborating Centre for Reference and Research on Influenza
A/SriLanka/73/2014	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Finland/462/2014	Finnish Institute for Health and Welfare, THL	Finnish Institute for Health and Welfare, THL
A/Estonia/91299/2015	Health Protection Inspectorate	Crick Worldwide Influenza Centre
A/Yokohama/88/2015	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/Wisconsin/9/2015		
A/Stavropol/8/2015		State Research Center of Virology and Biotechnology (VECTOR)
A/Wisconsin/24/2015		
A/YoshkarOla/CRIE-80/2015		Central Research Institute of Epidemiology
A/Moldova/11107/2015	National Centre for Preventive Medicine	Crick Worldwide Influenza Centre
A/Yekaterinburg/239/2015	State Research Center of Virology and Biotechnology (VECTOR)	Centers for Disease Control and Prevention
A/Ukraine/6809/2015	Ministry of Health of Ukraine	Crick Worldwide Influenza Centre
A/Victoria/73/2015	Victorian Infectious Diseases Reference Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/Newcastle/64/2015	John Hunter Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Finland/552/2015	NordLab Oulu	Finnish Institute for Health and Welfare, THL
A/Mozambique/IR499/2015	Laboratório de Isolamento Viral	Crick Worldwide Influenza Centre
A/Zambia/9-00008/2015	University Teaching Hospital, MoH Zambia	Crick Worldwide Influenza Centre
A/SouthAfrica/R4157/2015	National Institute for Communicable Disease	Crick Worldwide Influenza Centre
A/SouthAfrica/R1734/2015	National Institute for Communicable Disease	Crick Worldwide Influenza Centre
A/SouthAfrica/R3989/2015	National Institute for Communicable Disease	Crick Worldwide Influenza Centre
A/SouthAfrica/4639/2016	National Institute for Communicable Disease	Centers for Disease Control and Prevention
A/Oman/5494/2015	Central Public Health Laboratory, Ministry of Health	Crick Worldwide Influenza Centre
A/Sapporo/71/2015	Sapporo City Institute of Public Health	National Institute of Infectious Diseases (NIID)
A/Bangladesh/3400/2015	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Cambodia/FSS31758/2015	NAMRU-2, Cambodia	WHO Collaborating Centre for Reference and Research on Influenza
A/South-Africa/VW0105/2016	National Institute for Communicable Disease	Crick Worldwide Influenza Centre
A/Kyiv/711/2016	Institute of Epidemiology and Infectious Diseases AMS of Ukraine	Centers for Disease Control and Prevention
A/Tunisia/559/2016	Hopital Charles Nicolle	Crick Worldwide Influenza Centre
A/Bangladesh/203006/2015	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
A/Oman/5191/2016	Central Public Health Laboratory, Ministry of Health	Centers for Disease Control and Prevention
A/Phuket/421/2016	WHO National Influenza Centre, National Institute of Medical Research (NIMR)	Centers for Disease Control and Prevention
A/Washington/37/2015		
A/Uganda/215/2017	Uganda Virus Research Institute (UVRI), National Influenza Center	Centers for Disease Control and Prevention
A/Uganda/1610/2016	Uganda Virus Research Institute (UVRI), National Influenza Center	Centers for Disease Control and Prevention
A/Wisconsin/20/2015		
A/Sendai-H/N280/2015	Virus Research Center, Sendai Medical Center	National Institute of Infectious Diseases (NIID)
A/Nebraska/19/2015	Nebraska Public Health Lab	Centers for Disease Control and Prevention
A/Yokohama/109/2016	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)
A/SouthAfrica/R2665/2015	National Institute for Communicable Disease	Crick Worldwide Influenza Centre
A/Wellington/7/2015	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/898/2015	Austin Health	WHO Collaborating Centre for Reference and Research on Influenza
A/Wellington/4/2015	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Sydney/221/2015	Westmead Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Townsville/38/2015	Queensland Health Forensic and Scientific Services	WHO Collaborating Centre for Reference and Research on Influenza
A/NewJersey/26/2014		
A/Austria/97/2014	Department of Virology, Medical University Vienna	Medical University Vienna
A/HongKong/7127/2014-egg	Crick Worldwide Influenza Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/HongKong/7127/2014	National Institute for Medical Research	Centers for Disease Control and Prevention
A/Ecuador/2673/2016	INSPI	Centers for Disease Control and Prevention
A/Townsville/6/2015	Queensland Health Forensic and Scientific Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/922/2015	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Wellington/1/2015	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Wyoming/20/2014		
A/Wisconsin/66/2015	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
